Model,Iteration,Mean_CV_Score
svm,1,0.5923996952595205
svm,2,0.6018722148193192
svm,3,0.5344249165073144
svm,4,0.591471761328369
svm,5,0.48928949765843627
svm,6,0.1245920762057511
svm,7,0.5344249165073144
svm,8,0.2392570405524
svm,9,0.5916111933709952
svm,10,0.2923703090848822
svm,11,0.058495716095109083
svm,12,0.5974736487065694
svm,13,0.5170037769742801
svm,14,0.5344249165073144
svm,15,0.5754915924207108
random_forest,1,0.5583925643803542
random_forest,2,0.4595363510617365
random_forest,3,0.5280508329308493
random_forest,4,0.5790719281118812
random_forest,5,0.44003629639221503
random_forest,6,0.5301133510653306
random_forest,7,0.4796657384133941
random_forest,8,0.4565923474120385
random_forest,9,0.5344901039368035
random_forest,10,0.5325087669191599
random_forest,11,0.5546420893473747
random_forest,12,0.5412692133439935
random_forest,13,0.5391031077966373
random_forest,14,0.5644547994151689
random_forest,15,0.5410079291427338
mlp,1,0.5957904097685938
mlp,2,0.6168701318707865
mlp,3,0.5812090183306247
mlp,4,0.588186681956113
mlp,5,0.6118456565070387
mlp,6,0.5866859183769189
mlp,7,0.5877438848299672
mlp,8,0.6006456601442424
mlp,9,0.6141285264811014
mlp,10,0.6168701318707865
